10:43:38.239 logback-com.modules [main] INFO  c.m.bootapplication.BootApplication - Starting BootApplication on v_vllchen-PC0 with PID 30636 (E:\ideaProject\wx-bootapplication\bootapplication\target\classes started by v_vllchen in E:\ideaProject\wx-bootapplication\bootapplication)
10:43:38.242 logback-com.modules [main] INFO  c.m.bootapplication.BootApplication - No active profile set, falling back to default profiles: default
10:43:40.029 logback-com.modules [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8001"]
10:43:40.030 logback-com.modules [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
10:43:40.030 logback-com.modules [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.29]
10:43:40.144 logback-com.modules [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
10:43:40.748 logback-com.modules [main] INFO  org.mongodb.driver.cluster - Cluster created with settings {hosts=[localhost:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=500}
10:43:40.851 logback-com.modules [cluster-ClusterId{value='5f03e15c935b822355b34c99', description='null'}-localhost:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:3}] to localhost:27017
10:43:40.855 logback-com.modules [cluster-ClusterId{value='5f03e15c935b822355b34c99', description='null'}-localhost:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[3, 2, 21]}, minWireVersion=0, maxWireVersion=4, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=null, roundTripTimeNanos=1260900}
10:43:41.286 logback-com.modules [main] INFO  c.m.b.common.utils.PropertiesLoader - Could not load properties from path:jeesite.properties, class path resource [jeesite.properties] cannot be opened because it does not exist
10:44:03.207 logback-com.modules [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
10:44:03.535 logback-com.modules [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed
10:44:03.551 logback-com.modules [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
10:44:03.581 logback-com.modules [main] INFO  s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references
10:44:03.736 logback-com.modules [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8001"]
10:44:03.763 logback-com.modules [main] INFO  c.m.bootapplication.BootApplication - Started BootApplication in 26.708 seconds (JVM running for 28.148)
10:54:40.344 logback-com.modules [http-nio-8001-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
11:04:50.569 logback-com.modules [http-nio-8001-exec-4] INFO  c.m.b.modules.api.LoginController - 微信返回的错误码41008
11:05:02.653 logback-com.modules [http-nio-8001-exec-6] INFO  c.m.b.modules.api.LoginController - 微信返回的错误码41008
11:05:34.970 logback-com.modules [http-nio-8001-exec-9] INFO  c.m.b.modules.api.LoginController - 微信返回的错误码41008
11:08:03.905 logback-com.modules [http-nio-8001-exec-1] INFO  c.m.b.modules.api.LoginController - 微信返回的错误码40029
11:09:19.924 logback-com.modules [http-nio-8001-exec-5] INFO  c.m.b.modules.api.LoginController - 微信返回的错误码40029
11:10:34.145 logback-com.modules [http-nio-8001-exec-8] INFO  c.m.b.modules.api.LoginController - 调微信成功
11:10:34.471 logback-com.modules [http-nio-8001-exec-8] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
11:11:41.007 logback-com.modules [SpringContextShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
11:11:55.816 logback-com.modules [main] INFO  c.m.bootapplication.BootApplication - Starting BootApplication on v_vllchen-PC0 with PID 28012 (E:\ideaProject\wx-bootapplication\bootapplication\target\classes started by v_vllchen in E:\ideaProject\wx-bootapplication\bootapplication)
11:11:55.819 logback-com.modules [main] INFO  c.m.bootapplication.BootApplication - No active profile set, falling back to default profiles: default
11:11:58.525 logback-com.modules [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8001"]
11:11:58.526 logback-com.modules [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
11:11:58.526 logback-com.modules [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.29]
11:11:58.633 logback-com.modules [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
11:11:59.258 logback-com.modules [main] INFO  org.mongodb.driver.cluster - Cluster created with settings {hosts=[localhost:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=500}
11:11:59.418 logback-com.modules [cluster-ClusterId{value='5f03e7ffcf1864724a7c9914', description='null'}-localhost:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:4}] to localhost:27017
11:11:59.421 logback-com.modules [cluster-ClusterId{value='5f03e7ffcf1864724a7c9914', description='null'}-localhost:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[3, 2, 21]}, minWireVersion=0, maxWireVersion=4, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=null, roundTripTimeNanos=1013000}
11:11:59.676 logback-com.modules [main] INFO  c.m.b.common.utils.PropertiesLoader - Could not load properties from path:jeesite.properties, class path resource [jeesite.properties] cannot be opened because it does not exist
11:12:21.621 logback-com.modules [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
11:12:22.096 logback-com.modules [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed
